ion,logN,logN_err,n_lines,limit
Al III,13.272,1.069,1,
Cr II,14.081,0.088,2,
Fe II,15.283,0.035,7,
Mg I,12.744,0.030,1,
Mg II,17.388,0.086,2,>
Mn II,13.088,0.067,3,
Zn II,13.334,0.201,1,
