ion,logN,logN_err,n_lines,limit
Cr II,14.380,1.265,1,
Fe II,14.937,0.054,5,
Mg I,12.602,0.067,1,
Mg II,17.475,0.110,2,>
Mn II,13.133,0.974,1,
