ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.3961,0.4395,0.1980,0.4821,no,21.31,yes
Al III,1862.790,0.2780,0.0595,0.8440,1.4066,1.6404,no,10.64,yes
Zn II,2026.137,0.5010,0.2646,0.2143,0.0996,0.2364,no,20.86,yes
Cr II,2056.254,0.1050,0.6402,0.2143,0.2081,0.2987,yes,1.23,no
Cr II,2062.234,0.0780,0.0000,0.0162,0.0000,0.0162,no,0.92,no
Zn II,2062.664,0.2460,0.3444,0.2110,0.2146,0.3010,no,10.43,yes
Cr II,2066.161,0.0510,0.0000,0.1307,0.0318,0.1345,no,0.60,no
Fe II,2249.877,0.0018,0.1030,0.1077,0.1287,0.1679,no,0.08,no
Fe II,2260.780,0.0024,0.0635,0.0900,0.1082,0.1407,no,0.11,no
Fe II,2344.214,0.1140,1.9689,0.1001,0.0840,0.1307,yes,5.49,yes
Fe II,2374.461,0.0313,1.1410,0.0771,0.0344,0.0845,yes,1.53,no
Fe II,2382.765,0.3200,2.2715,0.0798,0.0354,0.0873,yes,15.67,yes
Mn II,2576.877,0.3610,0.0000,0.0000,0.0124,0.0124,no,0.30,no
Fe II,2586.650,0.0691,0.4701,0.0339,0.0880,0.0943,yes,3.67,no
Mn II,2594.499,0.2800,0.0000,0.0000,0.0000,0.0000,no,0.23,no
Fe II,2600.173,0.2390,1.6407,0.0476,0.0924,0.1039,yes,12.77,yes
Mn II,2606.462,0.1980,0.1526,0.0378,0.0766,0.0854,yes,0.17,no
Mg II,2796.352,0.6150,4.1713,0.0363,0.0642,0.0738,yes,12212.73,yes
Mg II,2803.531,0.3060,3.2130,0.0298,0.0515,0.0595,yes,6092.18,yes
Mg I,2852.964,1.8300,0.4458,0.0390,0.0412,0.0567,yes,0.50,no
