ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.7965,0.5571,0.6198,0.8334,no,18.47,yes
Al III,1862.790,0.2780,0.2024,0.2744,0.2450,0.3679,no,9.23,yes
Zn II,2026.137,0.5010,0.2684,0.2343,0.3879,0.4532,no,18.09,yes
Cr II,2056.254,0.1050,0.1795,0.0499,0.0085,0.0507,yes,0.23,no
Cr II,2062.234,0.0780,0.0000,0.0000,0.0000,0.0000,no,0.17,no
Zn II,2062.664,0.2460,0.0840,0.0723,0.0124,0.0733,no,9.04,yes
Cr II,2066.161,0.0510,0.0000,0.0000,0.0000,0.0000,no,0.11,no
Fe II,2249.877,0.0018,0.2605,0.0581,0.0534,0.0789,yes,0.07,no
Fe II,2260.780,0.0024,0.1988,0.0493,0.0508,0.0708,yes,0.10,no
Fe II,2344.214,0.1140,1.8567,0.0543,0.0661,0.0855,yes,4.76,no
Fe II,2374.461,0.0313,1.0798,0.0352,0.0264,0.0440,yes,1.32,no
Fe II,2382.765,0.3200,2.2721,0.0334,0.0269,0.0428,yes,13.59,yes
Mn II,2576.877,0.3610,0.0000,0.0000,0.0000,0.0000,no,0.19,no
Fe II,2586.650,0.0691,0.8016,0.0232,0.0555,0.0601,yes,3.18,no
Mn II,2594.499,0.2800,0.0046,0.0135,0.0266,0.0298,no,0.14,no
Fe II,2600.173,0.2390,1.8434,0.0311,0.0555,0.0636,yes,11.07,yes
Mn II,2606.462,0.1980,0.1074,0.0259,0.0463,0.0530,yes,0.10,no
Mg II,2796.352,0.6150,4.4106,0.0193,0.0606,0.0636,yes,2640.83,yes
Mg II,2803.531,0.3060,3.1920,0.0163,0.0491,0.0517,yes,1317.35,yes
Mg I,2852.964,1.8300,0.4783,0.0165,0.0298,0.0341,yes,0.47,no
